Frage;Antwort
"Ab wann spricht man bei einem Erwachsenen von einer Bradykardie und wann ist eine Therapie bei Instabilität indiziert?";"Von Bradykardie spricht man bei einer Herzfrequenz <60/min. Eine exzessive Bradykardie mit einer Herzfrequenz <40/min erfordert eine Therapie bei Zeichen der Instabilität (z.B. Hypotonie, Bewusstseinsstörung, Schockzeichen)."
"Ab wann spricht man bei einem Erwachsenen von einer Tachykardie und wann ist eine Behandlung bei Insuffizienzzeichen indiziert?";"Von Tachykardie spricht man bei einer Herzfrequenz >100/min. Eine exzessive Tachykardie mit einer Herzfrequenz >150/min erfordert eine Behandlung bei Insuffizienzzeichen (z.B. Hypotonie, Lungenödem, Angina Pectoris, Bewusstseinsstörung)."
"Wie ist ein hypertensiver Notfall definiert und welche Blutdruckwerte sind typischerweise damit assoziiert?";"Ein hypertensiver Notfall ist definiert als ein stark erhöhter Blutdruck (oft > 180 mmHg systolisch oder >110-120 mmHg diastolisch) in Verbindung mit akuten Endorganschäden (z.B. hypertensive Enzephalopathie, Lungenödem, Aortendissektion)."
"Welche Blutdruckwerte definieren eine arterielle Hypotonie bei Erwachsenen?";"Eine arterielle Hypotonie liegt bei Blutdruckwerten unter 100-110 mmHg systolisch und/oder unter 60 mmHg diastolisch vor."
"Ab welchem Blutzuckerwert spricht man von einer Hypoglykämie bei einem Erwachsenen und welche Symptome können auftreten?";"Von einer Hypoglykämie spricht man bei Blutzuckerwerten <70 mg/dl (3,9 mmol/l). Symptome können Schwitzen, Zittern, Heißhunger, Verwirrtheit, Bewusstseinsstörungen bis zum Koma sein."
"Welche Blutzuckerwerte deuten auf eine schwere Hyperglykämie hin und welche Komplikationen können daraus resultieren?";"Eine schwere Hyperglykämie liegt bei Blutzuckerwerten >250 mg/dl (13,9 mmol/l) vor. Komplikationen können eine diabetische Ketoazidose (v.a. bei Typ-1-Diabetes) oder ein hyperglykämisches hyperosmolares Syndrom (v.a. bei Typ-2-Diabetes, oft BZ>600 mg/dl) sein."
"Welcher SpO2-Wert gilt als Grenzwert für eine Hypoxie und wann sollte eine Sauerstoffgabe erwogen werden?";"Eine SpO2 < 90% gilt als Hypoxie. Eine Sauerstoffgabe sollte bei Patienten mit kritischen Erkrankungen oder Verletzungen und bei SpO2-Werten < 94% erwogen werden, um eine Sättigung von 94-98% anzustreben (bei COPD-Patienten mit chronischer Hyperkapnie oft 88-92%)."
"Ab welcher Körperkerntemperatur spricht man bei Erwachsenen von Fieber?";"Bei Erwachsenen spricht man in der Regel ab einer Körperkerntemperatur von 38,0°C von Fieber."
"Ab welcher Körperkerntemperatur beginnt eine Hypothermie und nennen Sie die Temperaturbereiche der vier Stadien.";"Eine Hypothermie beginnt bei einer Körperkerntemperatur <35°C. Stadien: Grad I (Abwehr): 35-32°C; Grad II (Erschöpfung): 32-30°C (andere Quellen <32-28°C); Grad III (Lähmung): 30-28°C (andere Quellen <28-24°C); Grad IV (Scheintod): <28°C (andere Quellen <24°C)."
"Was ist die normale Atemfrequenz eines gesunden Erwachsenen in Ruhe?";"Die normale Atemfrequenz eines gesunden Erwachsenen in Ruhe beträgt etwa 12-16 (manchmal bis 20) Atemzüge pro Minute."
"Nennen Sie mindestens vier typische Symptome eines Akuten Koronarsyndroms (ACS).";"Starke, drückende oder brennende Schmerzen in der Brust (retrosternal), Ausstrahlung der Schmerzen (z.B. linker Arm, Unterkiefer, Rücken, Oberbauch), Engegefühl, Todesangst, vegetative Symptome (Übelkeit, Erbrechen, Kaltschweißigkeit), Dyspnoe."
"Welche Basismaßnahmen ergreifen Sie bei einem Patienten mit Verdacht auf ACS und stabiler Hämodynamik?";"Notruf (falls noch nicht geschehen), beruhigende Gesprächsführung, Oberkörperhochlagerung (30°), Sauerstoffgabe (2-4 l/min über Nasensonde oder Maske, Ziel SpO2>94%), Monitoring (EKG, RR, Puls, SpO2), i.v.-Zugang vorbereiten/anlegen, ggf. Assistenz bei Nitrogabe (nach Arztanordnung oder SOP), schnelle Transportbereitschaft in Klinik mit Herzkatheterlabor."
"Was sind typische Symptome eines akuten Lungenödems?";"Akute, schwere Dyspnoe (Atemnot), Orthopnoe (Atemnot im Liegen), feuchte Rasselgeräusche bei Auskultation, Husten (evtl. mit schaumig-blutigem Sputum), Tachykardie, Zyanose, Unruhe, Angst."
"Welche Maßnahmen sind bei einem Patienten mit instabiler Tachykardie (z.B. Puls >150/min mit Hypotonie und Bewusstseinstrübung) dringend erforderlich?";"Sofortige Alarmierung des Notarztes, Vorbereitung zur synchronisierten Kardioversion (falls im Kompetenzbereich oder zur Assistenz), Sauerstoffgabe, i.v.-Zugang, kontinuierliches Monitoring."
"Welche Maßnahmen ergreifen Sie bei einem hypertensiven Notfall mit systolischen Werten >200 mmHg und akuten neurologischen Symptomen (z.B. Verwirrtheit, Sehstörungen)?";"Notarztruf, Oberkörperhochlagerung, Sauerstoffgabe, i.v.-Zugang, engmaschige Blutdruckkontrolle, ggf. medikamentöse Blutdrucksenkung nach Arztanordnung (z.B. Urapidil i.v.), Ziel ist eine kontrollierte Senkung um max. 15-25% in der ersten Stunde, um zerebrale Minderperfusion zu vermeiden."
"Was versteht man unter einer Aortendissektion und welche Symptome sind typisch?";"Eine Aortendissektion ist eine Aufspaltung der Wandschichten der Aorta. Typische Symptome sind ein plötzlich einsetzender, extrem starker, reißender Schmerz (oft zwischen den Schulterblättern oder thorakal), Pulsdifferenz an den Extremitäten, neurologische Ausfälle und ggf. Schocksymptomatik."
"Nennen Sie drei Hauptsymptome eines schweren Asthmaanfalls.";"Schwere Dyspnoe (Atemnot), exspiratorisches Giemen und Brummen (pfeifende, brummende Atemgeräusche bei der Ausatmung), verlängerte Exspiration, Einsatz der Atemhilfsmuskulatur, Tachykardie, Zyanose, Unruhe, Angst."
"Welche Erste-Hilfe-Maßnahmen sind bei einem Asthmaanfall indiziert?";"Patient beruhigen, Oberkörperhochlagerung (z.B. Kutschersitz), Lippenbremse anleiten, beengende Kleidung lockern, Hilfe bei der Anwendung des patienteneigenen Asthmasprays (Beta-2-Mimetikum), Sauerstoffgabe nach Bedarf."
"Was sind typische Anzeichen einer Lungenembolie?";"Plötzlich einsetzende Dyspnoe, Tachypnoe, atemabhängiger Thoraxschmerz, Husten (evtl. Bluthusten/Hämoptysen), Tachykardie, Angst, Zyanose, Hypotonie bis Schock bei schwerer Embolie."
"An welcher Stelle wird bei einem Spannungspneumothorax typischerweise eine Entlastungspunktion durchgeführt?";"Im 2. oder 3. Interkostalraum (ICR) in der Medioklavikularlinie (MCL) der betroffenen Seite."
"Welche Maßnahmen ergreifen Sie bei einem Erwachsenen mit einer kompletten Atemwegsverlegung durch einen Fremdkörper, der noch bei Bewusstsein ist?";"Zuerst zum Husten auffordern. Wenn erfolglos: Bis zu 5 Schläge auf den Rücken zwischen die Schulterblätter. Wenn weiterhin erfolglos: Bis zu 5 Heimlich-Manöver (Oberbauchkompressionen). Abwechselnd wiederholen. Bei Bewusstlosigkeit: Beginn mit CPR."
"Was ist der Unterschied zwischen einem einfachen Pneumothorax und einem Spannungspneumothorax hinsichtlich der Symptomatik und Dringlichkeit?";"Einfacher Pneumothorax: Luft im Pleuraspalt ohne Ventilmechanismus, Symptome können gering sein bis hin zu Dyspnoe und Schmerz. Spannungspneumothorax: Ventilmechanismus führt zu stetig steigendem Druck, schwerste Dyspnoe, Kreislaufinstabilität (Hypotonie, Tachykardie, gestaute Halsvenen), Mediastinalverlagerung, lebensbedrohlich, sofortige Entlastung nötig."
"Erklären Sie das FAST-Schema zur Erkennung eines Schlaganfalls.";"F (Face/Gesicht): Patient bitten zu lächeln, Zähne zeigen, Stirn runzeln - auf Asymmetrie (z.B. hängender Mundwinkel) achten. A (Arms/Arme): Patient bitten, beide Arme gleichzeitig nach vorne zu heben und Handflächen nach oben zu drehen, Augen schließen auf Absinken oder Drehung eines Arms achten. S (Speech/Sprache): Patient bitten, einen einfachen Satz nachzusprechen auf verwaschene Sprache, Wortfindungsstörungen oder Unfähigkeit zu sprechen achten. T (Time/Zeit): Bei positivem Befund (ein Kriterium auffällig) sofort Notruf 112, Zeit ist Hirn (""Time is brain"")."
"Welche Maßnahmen ergreifen Sie während eines generalisierten tonisch-klonischen Krampfanfalls?";"Patienten vor Verletzungen schützen (Gegenstände entfernen, Kopf polstern), nicht festhalten, keine Gegenstände zwischen die Zähne schieben, nach dem Anfall Vitalfunktionen prüfen, stabile Seitenlage bei normaler Atmung, Sauerstoffgabe, Notarzt rufen."
"Nennen Sie drei Anzeichen für ein schweres Schädel-Hirn-Trauma (SHT).";"Bewusstlosigkeit (GCS < 9), Pupillendifferenz oder fehlende Lichtreaktion, neurologische Ausfälle (z.B. Lähmungen), Krampfanfälle, offene Schädelverletzung, Liquor-/Blutaustritt aus Nase/Ohren, Bradykardie bei Hypertonie (Cushing-Trias als spätes Zeichen)."
"Was ist eine Synkope und welche häufigen Ursachen gibt es?";"Eine Synkope ist ein plötzlicher, kurzzeitiger Bewusstseinsverlust mit Verlust des Haltungstonus und rascher, spontaner Erholung. Häufige Ursachen sind vasovagal (z. B. durch Schreck, Schmerz), orthostatisch (beim Aufstehen), kardiogen (Herzrhythmusstörungen, strukturelle Herzerkrankung) oder neurologisch (selten)."
"Welche Symptome können auf eine Meningitis (Hirnhautentzündung) hinweisen?";"Starke Kopfschmerzen, hohes Fieber, Nackensteifigkeit (Meningismus), Lichtscheu (Photophobie), Übelkeit/Erbrechen, Bewusstseinstrübung, Petechien (kleine Hauteinblutungen, v.a. bei Meningokokken-Meningitis)."
"Welche Maßnahmen ergreifen Sie zur Stillung einer stark spritzenden arteriellen Blutung am Oberschenkel?";"Direkter manueller Druck auf die Wunde (mit sterilem Material), Anlegen eines Druckverbandes. Bei anhaltender Blutung und wenn proximal möglich: Abdrücken der A. femoralis in der Leiste. Als Ultima Ratio und bei entsprechender Indikation und Ausbildung: Anlage eines Tourniquets. Hochlagern der Extremität (unterstützend). Schockbekämpfung."
"Nennen Sie drei sichere und drei unsichere Frakturzeichen.";"Sichere Frakturzeichen: Achsabweichung/Fehlstellung, abnorme Beweglichkeit, offene Fraktur (sichtbare Knochenenden), Krepitation (Knister-/Reibegeräusch). Unsichere Frakturzeichen: Schmerz, Schwellung, Hämatom, Funktionseinschränkung."
"Erklären Sie die Neuner-Regel nach Wallace zur Abschätzung der verbrannten Körperoberfläche (VKOF) bei Erwachsenen.";"Kopf/Hals: 9%; Arm (jeweils): 9%; Bein (jeweils): 18% (2x9%); Vorderseite des Rumpfes: 18% (2x9%); Rückseite des Rumpfes: 18% (2x9%); Genitalbereich: 1%."
"Welche Maßnahmen sind bei Verdacht auf eine Wirbelsäulenverletzung nach einem Sturz aus großer Höhe primär wichtig?";"Manuelle Inline-Stabilisierung der Halswirbelsäule (HWS) durch einen Helfer, Anlage einer HWS-Schiene (Stiffneck), schonende Rettung und Immobilisation auf einem Spineboard oder einer Vakuummatratze, Vermeidung unnötiger Bewegungen der Wirbelsäule."
"Was versteht man unter einem Polytrauma und nach welchem Schema erfolgt typischerweise die Erstversorgung?";"Ein Polytrauma ist die gleichzeitige Verletzung mehrerer Körperregionen oder Organsysteme, wobei mindestens eine Verletzung oder die Kombination mehrerer Verletzungen lebensbedrohlich ist. Die Erstversorgung erfolgt oft nach dem cABCDE-Schema (critical Bleeding, Airway, Breathing, Circulation, Disability, Exposure) oder einem ähnlichen Traumaprotokoll (z.B. ITLS, PHTLS)."
"Was ist die PECH-Regel und bei welchen Verletzungen wird sie angewendet?";"P (Pause): Sofortige Unterbrechung der Aktivität. E (Eis): Kühlung der verletzten Stelle (ca. 15-20 Min., nicht direkt auf die Haut). С (Compression): Anlegen eines Kompressionsverbandes. H (Hochlagern): Hochlagern des betroffenen Körperteils. Angewendet bei stumpfen Verletzungen wie Prellungen, Zerrungen, Verstauchungen."
"Nennen Sie drei typische Symptome einer schweren Hypoglykämie.";"Bewusstseinsstörungen (Verwirrtheit, Somnolenz bis Koma), Krampfanfälle, neurologische Ausfälle (ähnlich Schlaganfall), Kaltschweißigkeit, Blässe, Tachykardie, Heißhunger (falls noch ansprechbar)."
"Welche Maßnahmen ergreifen Sie bei einem bewusstlosen Patienten mit bekannter Diabetes-Anamnese und einem Blutzucker von 30 mg/dl?";"Notarztruf (falls nicht schon erfolgt), Sicherung der Atemwege, stabile Seitenlage bei Spontanatmung, Sauerstoffgabe, i.v.-Zugang und Gabe von Glukose i.v. (z.B. 8g Glucose = 20ml G40% langsam) nach Arztanordnung oder SOP, engmaschige Überwachung. Bei fehlendem i.v.-Zugang ggf. Glukagon i.m. (Wirkeintritt verzögert)."
"Was sind Leitsymptome einer diabetischen Ketoazidose (DKA)?";"Polyurie (vermehrtes Wasserlassen), Polydipsie (starker Durst), Exsikkose, Übelkeit/Erbrechen, Bauchschmerzen, Azetongeruch der Atemluft (obstartig), Kussmaul-Atmung (tiefe, beschleunigte Atmung), Bewusstseinstrübung bis Koma, Hyperglykämie (oft >250 mg/dl), Ketonkörper im Urin/Blut."
"Was unterscheidet das hyperglykämische hyperosmolare Syndrom (HHS) wesentlich von der diabetischen Ketoazidose (DKA)?";"HHS tritt meist bei Typ-2-Diabetikern auf, ist gekennzeichnet durch extrem hohe Blutzuckerwerte (oft >600 mg/dl) und eine starke Dehydratation bei meist fehlender oder nur geringer Ketoazidose (kein oder kaum Azetongeruch, keine Kussmaul-Atmung). Die Bewusstseinstrübung ist oft ausgeprägter."
"Welche allgemeinen Maßnahmen sind bei Verdacht auf eine Tablettenintoxikation bei einem ansprechbaren Patienten wichtig?";"Eigenschutz beachten, Notruf/Notarzt, Vitalfunktionen sichern und überwachen, Patienten beruhigen, Anamnese erheben (Was? Wann? Wie viel? Warum?), ggf. Giftreste/Verpackungen sicherstellen, keine eigenständige Gabe von Brechmitteln oder Milch, Transport in Klinik. Giftnotruf kontaktieren."
"Nennen Sie typische Symptome einer Kohlenmonoxid (CO)-Intoxikation.";"Kopfschmerzen, Schwindel, Übelkeit/Erbrechen, Sehstörungen, Verwirrtheit, Bewusstseinsstörungen bis Koma, Tachykardie, Dyspnoe, kirschrote Hautfarbe (selten und spätes Zeichen)."
"Welche besondere Gefahr besteht für Helfer bei einer CO-Intoxikation und welche Maßnahme ist daher vorrangig?";"Gefahr der Eigenvergiftung für die Helfer, da CO geruchlos ist. Vorrangige Maßnahme ist der Eigenschutz: Einsatzstelle nur mit umluftunabhängigem Atemschutz betreten oder auf die Feuerwehr warten. Patienten so schnell wie möglich aus dem Gefahrenbereich retten."
"Warum ist es wichtig, bei Intoxikationen Erbrochenes oder vermutete Giftstoffe sicherzustellen?";"Zur Identifizierung des Giftstoffes durch die Klinik oder das Giftinformationszentrum, was eine gezielte Therapie (z.B. Antidotgabe) ermöglichen kann."
"Welche Informationen sollte ein Anruf beim Giftinformationszentrum beinhalten?";"Wer (Alter, Gewicht, Geschlecht des Patienten)? Was (genaue Bezeichnung des Stoffes, Menge)? Wann (Zeitpunkt der Einnahme/Exposition)? Wie (Art der Aufnahme: oral, dermal, inhalativ)? Welche Symptome? Welche bereits durchgeführten Maßnahmen? Rückrufnummer."
"Was sind typische Symptome eines Fieberkrampfes bei einem Kleinkind?";"Generalisierter tonisch-klonischer Krampfanfall (Versteifung, dann rhythmische Zuckungen) bei gleichzeitigem Fieber (oft >38,5°C), meist bei Kindern zwischen 6 Monaten und 5 Jahren, oft kurzer Dauer (wenige Minuten), danach oft müde/schläfrig."
"Welche Maßnahmen ergreifen Sie bei einem Kind mit einem akuten Fieberkrampf?";"Kind vor Verletzungen schützen, nicht festhalten, keine Gegenstände in den Mund, nach Krampfende Vitalfunktionen prüfen, stabile Seitenlage bei normaler Atmung, fiebersenkende Maßnahmen (z. B. Wadenwickel nach Rücksprache/Arztanordnung, Entkleiden), Notarzt rufen."
"Was sind Leitsymptome des Pseudokrupp-Anfalls?";"Plötzlich einsetzender, bellender Husten (zeehundartig), inspiratorischer Stridor (pfeifendes Geräusch bei Einatmung), Heiserkeit, Dyspnoe, meist nachts, oft bei viralen Infekten, Kind ist meist fieberfrei oder hat nur leicht erhöhte Temperatur."
"Welche Maßnahmen helfen bei einem Pseudokrupp-Anfall?";"Kind beruhigen, aufrechter Sitz (z.B. auf dem Arm der Eltern), kühle, feuchte Luft (z.B. offenes Fenster, Bad mit laufender Dusche), ggf. Kortikosteroid-Zäpfchen nach Arztanordnung. Notarzt bei schwerer Atemnot oder Zyanose."
"Was ist der Unterschied in der CPR-Durchführung (Herzdruckmassage: Beatmung) bei Kindern im Vergleich zu Erwachsenen durch Laienhelfer und professionelle Helfer?";"Laienhelfer: 30:2 wie bei Erwachsenen. Professionelle Helfer (v.a. bei primär respirato-rischer Ursache): Beginn mit 5 Initialbeatmungen, dann 15:2 (bei zwei Helfern)."
"Nennen Sie drei Anzeichen einer unmittelbar bevorstehenden Geburt.";"Regelmäßige, starke Wehen in kurzen Abständen (z.B. alle 2-3 Minuten, Dauer ca. 60 Sek.), starker Pressdrang der Mutter, sichtbares Köpfchen in der Vulva (beim Spreizen der Schamlippen), Blasensprung (Abgang von Fruchtwasser)."
"Welche Materialien sollten Sie für eine Notgeburt im Rettungswagen bereitlegen?";"Saubere (sterile) Tücher/Unterlagen, sterile Handschuhe, sterile Nabelklemmen (2 Stück), sterile Schere/Skalpell (zum Durchtrennen der Nabelschnur nach Abnabelung), Absaugvorrichtung für das Neugeborene (z.B. Schleimabsauger), warme Decken für Mutter und Kind."
"Welche Maßnahmen sind unmittelbar nach der Geburt eines Neugeborenen durchzuführen?";"Neugeborenes vorsichtig abtrocknen, warm halten (z. B. auf den Bauch der Mutter legen, zudecken), Atemwege ggf. freimachen (Mund/Nase absaugen, falls Fruchtwasser/Schleim vorhanden), Vitalität beurteilen (APGAR-Schema), Nabelschnur abklemmen und durchtrennen (nachdem sie auspulsier t ist oder nach ca. 1-3 Min.)."
"Was sind Anzeichen einer starken postpartalen Blutung (PPH)?";"Starker, anhaltender vaginaler Blutverlust (>500 ml nach Spontangeburt), schlaffer Uterus (Fundus nicht gut tastbar oder weich), Blässe, Kaltschweißigkeit, Tachykardie, Hypotonie, Schockzeichen bei der Mutter."
"Bei Verdacht auf welche gynäkologischen Notfälle ist an eine lebensbedrohliche innere Blutung zu denken?";"Extrauteringravidität (EUG) mit Ruptur, rupturierte Ovarialzyste, schwere Plazentalösungsstörungen. Symptome sind oft akute Unterbauchschmerzen, Schockzeichen (Tachykardie, Hypotonie, Blässe) ohne sichtbaren starken Blutverlust."
"Beschreiben Sie die korrekte Durchführung der Herzdruckmassage bei einem Erwachsenen gemäß aktuellen Leitlinien.";"Patient auf harter Unterlage lagern. Druckpunkt: untere Hälfte des Sternums (Mitte der Brust). Handballen auflegen, Finger verschränken oder abspreizen. Arme gestreckt halten, Druck aus den Schultern. Drucktiefe: mind. 5 cm, nicht mehr als 6 cm. Frequenz: 100-120/min. Brustkorb nach jeder Kompression vollständig entlasten. So wenig Unterbrechungen wie möglich."
"Welche Schritte sind bei der Anwendung eines Automatisierten Externen Defibrillators (AED) zu befolgen?";"Gerät einschalten, Anweisungen des AED befolgen, Elektroden auf den entblößten Brustkorb des Patienten kleben (Position wie abgebildet), sicherstellen, dass niemand den Patienten während der Analyse und Schockabgabe berührt, nach Schockabgabe (oder wenn kein Schock empfohlen) sofort mit Herzdruckmassage fortfahren."
"Wann ist ein Guedel-Tubus indiziert und wann kontraindiziert?";"Indiziert bei bewusstlosen Patienten ohne erhaltene Schutzreflexe zur Freihaltung der oberen Atemwege (verhindert Zurückfallen der Zunge). Kontraindiziert bei erhaltenen Schutzreflexen (Würgereiz) oder wachen/abwehrenden Patienten."
"Wie wird die korrekte Größe eines Guedel-Tubus bestimmt?";"Abstand vom Mundwinkel des Patienten bis zum Ohrläppchen oder Kieferwinkel."
"Welche Methoden der Blutstillung bei einer starken äußeren Blutung kennen Sie in der Reihenfolge ihrer Anwendung bzw. Eskalation?";"1. Direkter manueller Druck auf die Wunde. 2. Anlegen eines Druckverbandes. 3. Hochlagern der betroffenen Extremität (unterstützend). 4. Abdrücken der zuführenden Arterie (z.B. Α. brachialis, A. femoralis). 5. Anlage eines Tourniquets (bei lebensbedrohlichen Blutungen an Extremitäten, die anders nicht kontrollierbar sind)."
"In welcher Lagerungsposition bringen Sie einen Patienten mit Atemnot und Verdacht auf Herzinsuffizienz?";"Oberkörperhochlagerung (sitzend oder halbsitzend, ca. 30-45°), ggf. mit herunterhängenden Beinen, um den venösen Rückfluss zum Herzen zu vermindern und die Atmung zu erleichtern."
"Wann ist die stabile Seitenlage indiziert und was ist ihr Zweck?";"Indiziert bei bewusstlosen Patienten mit erhaltener Spontanatmung. Zweck ist die Freihaltung der Atemwege durch Verhindern des Zurückfallens der Zunge und Ermöglichen des Abfließens von Flüssigkeiten (Erbrochenes, Blut, Speichel) aus dem Mundraum, um Aspiration zu verhindern."
"Welche Materialien bereiten Sie typischerweise für eine endotracheale Intubation durch den Notarzt vor?";"Laryngoskop mit passenden Spateln (verschiedene Größen, Licht prüfen!), Endotrachealtuben in verschiedenen Größen (mit Cuff-Spritze), Führungsstab (Mandrin), Blockerspritze (10 ml), Gleitmittel, Magillzange, Absauggerät mit Absaugkathetern, Beatmungsbeutel mit Maske und O2-Anschluss, Stethoskop, Kapnometrie/-graphie, Fixierungsmaterial für den Tubus."
"Wie assistieren Sie dem Notarzt bei der Anlage eines peripher-venösen Zugangs (i.v.-Zugang)?";"Material vorbereiten (Venenverweilkanülen verschiedener Größen, Stauschlauch, Desinfektionsmittel, Tupfer, Infusionslösung mit System, Pflaster/Fixierung), Assistenz beim Stauen, Desinfizieren, Anreichen der Materialien, ggf. Halten der Extremität, nach erfolgreicher Anlage Infusion anschließen und fixieren."
